candidate_course_label,candidate_jurisdiction,provisional_races,decision,decision_reason,physical_venue_name,iana_timezone,requests_sent,requests_reused
Sligo,Ireland,593,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Caulfield,Australia,574,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Bellewstown,Ireland,554,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Aintree,Great Britain,553,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Saratoga,United States,528,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Belmont Park,United States,482,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Churchill Downs,United States,474,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Rosehill,Australia,472,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Woodbine,Canada,434,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Les Landes,Jersey,433,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Keeneland,United States,409,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Nakayama,Japan,258,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
San Siro,Italy,207,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Morphettville,Australia,205,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
San Isidro,Argentina,179,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Kyoto,Japan,179,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Will Rogers Downs,United States,178,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Cagnes-Sur-Mer,France,175,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Eagle Farm,Australia,166,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Baden-Baden,Germany,158,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Oaklawn Park,United States,157,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Abu Dhabi,United Arab Emirates,152,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Capannelle,Italy,146,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Gavea,Brazil,136,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Chukyo,Japan,129,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Turffontein Standside,South Africa,124,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
